
0;-4.476208E-09;2.423267E-08;-6.429461E-09;-0.7071068;6.763097E-09;1
0;-4.476208E-09;2.423267E-08;-6.429461E-09;-0.7071068;6.763097E-09;3
2.968311E-05;3.33861E-09;-0.005376989;-7.868489E-09;-0.7105643;6.104004E-09;5
0.01164311;6.603982E-09;-0.1123402;-4.966794E-09;-0.7762231;-1.695383E-08;7
-0.2217577;2.224681E-07;-0.1827367;-2.38788E-08;-0.7920967;-6.804925E-08;9
-3.601569;2.786516E-06;-1.404879;-4.439065E-07;-0.8796683;-3.414617E-07;11
-10.57369;0.0002517092;-4.926478;9.036015E-06;-0.9378999;2.031907E-05;13
-19.1957;0.0006738562;-10.07149;2.222248E-05;-0.9783179;4.998467E-05;15
-27.81845;0.00110583;-15.17522;3.272758E-05;-0.9969283;7.368809E-05;17
-36.89082;0.001525632;-20.0733;1.480324E-05;-0.9180988;0.0001131365;19
-45.79826;0.001999397;-24.79254;-1.052441E-06;-0.7271104;0.0001302342;21
-54.8492;0.002503183;-29.25216;-1.656448E-05;-0.4419133;0.0001303707;23
-65.85162;0.002878699;-32.79645;1.981927E-05;-0.4450425;0.0001428562;25
-77.00826;0.003232476;-36.28808;5.595475E-05;-0.4875553;0.0001551621;27
-90.77025;0.00287501;-38.37547;0.0001448936;-0.5683411;0.0001924413;29
-108.1973;0.0008867866;-38.99477;0.0003068608;-0.6347225;0.0002846821;31

